,MEA_DDHR,PLANT,LOC,X24H_TMA,24H_COND_LOC,X24H_COND_LOC_PROB,X48H_TMA,X48H_COND_LOC,X48H_COND_LOC_PROB
1,2019-04-01 00:00:00,2,3,2019-04-02 0:00,0.0,0.99957151882623,2019-04-03 0:00,0.0,0.99957151882623
2,2019-04-01 04:30:00,1,2,2019-04-02 4:30,0.0,0.99957151882623,2019-04-03 4:30,0.0,0.99957151882623
3,2019-04-01 10:30:00,2,3,2019-04-02 10:30,0.0,0.99957151882623,2019-04-03 10:30,0.0,0.999563645024854
4,2019-04-01 11:00:00,1,1,2019-04-02 11:00,0.0,0.9995756107334529,2019-04-03 11:00,0.0,0.9995826578536312
5,2019-04-01 13:30:00,2,1,2019-04-02 13:30,0.0,0.9994228786298921,2019-04-03 13:30,0.0,0.9995199155377039
6,2019-04-01 17:00:00,2,2,2019-04-02 17:00,0.0,0.999563645024854,2019-04-03 17:00,0.0,0.9994131943595465
7,2019-04-01 18:30:00,2,3,2019-04-02 18:30,0.0,0.999563645024854,2019-04-03 18:30,0.0,0.999563645024854
8,2019-04-01 20:30:00,2,1,2019-04-02 20:30,0.0,0.9995756107334529,2019-04-03 20:30,0.0,0.9995756107334529
9,2019-04-02 06:00:00,1,2,2019-04-03 6:00,0.0,0.99957151882623,2019-04-04 6:00,0.0,0.99957151882623
10,2019-04-02 07:00:00,1,1,2019-04-03 7:00,0.0,0.9995826578536312,2019-04-04 7:00,0.0,0.9995826578536312
11,2019-04-02 09:30:00,1,1,2019-04-03 9:30,0.0,0.9995826578536312,2019-04-04 9:30,0.0,0.9995756107334529
12,2019-04-02 12:30:00,1,2,2019-04-03 12:30,0.0,0.999563645024854,2019-04-04 12:30,0.0,0.9996570447886415
13,2019-04-02 15:00:00,1,1,2019-04-03 15:00,0.0,0.9995747840522552,2019-04-04 15:00,0.0,0.9996617601270276
14,2019-04-02 16:00:00,2,2,2019-04-03 16:00,0.0,0.9995051393662783,2019-04-04 16:00,0.0,0.9994131836566157
15,2019-04-02 16:30:00,1,1,2019-04-03 16:30,0.0,0.9995747840522552,2019-04-04 16:30,0.0,0.9997174775709955
16,2019-04-02 17:00:00,2,2,2019-04-03 17:00,0.0,0.999563645024854,2019-04-04 17:00,0.0,0.9995092857450666
17,2019-04-02 19:30:00,1,1,2019-04-03 19:30,0.0,0.9995826578536312,2019-04-04 19:30,0.0,0.9995747840522552
18,2019-04-03 00:30:00,1,2,2019-04-04 0:30,0.0,0.99957151882623,2019-04-05 0:30,0.0,0.9995735129014035
19,2019-04-03 01:00:00,1,1,2019-04-04 1:00,0.0,0.9995826578536312,2019-04-05 1:00,0.0,0.999570810403682
20,2019-04-03 03:00:00,2,3,2019-04-04 3:00,0.0,0.99957151882623,2019-04-05 3:00,0.0,0.9995673114408674
21,2019-04-03 04:30:00,1,1,2019-04-04 4:30,0.0,0.999585267519956,2019-04-05 4:30,0.0,0.9995782203997777
22,2019-04-03 07:00:00,2,1,2019-04-04 7:00,0.0,0.9995782203997777,2019-04-05 7:00,0.0,0.9995340534982282
23,2019-04-03 08:30:00,2,1,2019-04-04 8:30,0.0,0.9995756107334529,2019-04-05 8:30,0.0,0.999561226829274
24,2019-04-03 09:00:00,1,1,2019-04-04 9:00,0.0,0.9995803288576652,2019-04-05 9:00,0.0,0.9996815558240245
25,2019-04-03 10:00:00,2,1,2019-04-04 10:00,0.0,0.9995604001480763,2019-04-05 10:00,0.0,0.9995394632360276
26,2019-04-03 11:00:00,2,2,2019-04-04 11:00,0.0,0.999522914470827,2019-04-05 11:00,0.0,0.9995283242086264
27,2019-04-03 11:30:00,1,2,2019-04-04 11:30,0.0,0.9995540631285229,2019-04-05 11:30,0.0,0.9996862034318178
28,2019-04-03 12:30:00,1,3,2019-04-04 12:30,0.0,0.9994088605854762,2019-04-05 12:30,0.0,0.999522914470827
29,2019-04-03 17:00:00,2,2,2019-04-04 17:00,0.0,0.9993759110038863,2019-04-05 17:00,0.0,0.9996818803606784
30,2019-04-03 19:00:00,2,2,2019-04-04 19:00,0.0,0.999547500383767,2019-04-05 19:00,0.0,0.999415804025871
31,2019-04-03 19:30:00,2,1,2019-04-04 19:30,0.0,0.9995199155377039,2019-04-05 19:30,0.0,0.9995199155377039
32,2019-04-04 00:30:00,1,2,2019-04-05 0:30,0.0,0.9995754738395474,2019-04-06 0:30,0.0,0.9995830553612651
